ISIN,Name,RIC,Ticker,Sector,Cap
US0378331005,Apple Inc,AAPL.GTX,APC,Phones & Smart Phones,2526643629440
US5949181045,Microsoft Corp,MSFT.GTX,MSF,Software (NEC),1950014987771
US02079K3059,Alphabet Inc,ABEA.GTX,ABEA,Search Engines,1417353270000
US02079K1079,Alphabet Inc,ABECG.GTX,ABEC,Search Engines,1417353270000
US0231351067,Amazon.com Inc,AMZN.GTX,AMZ,Internet & Mail Order Department Stores,1291476324277
US88160R1014,Tesla Inc,TSLA.GTX,TL0,Electric (Alternative) Vehicles,863615679102
US0846701086,Berkshire Hathaway Inc,BRKa.GTX,BRH,Consumer Goods Conglomerates,618109065288
US0846707026,Berkshire Hathaway Inc,BRKb.GTX,BRYN,Consumer Goods Conglomerates,618109065288
US91324P1021,UnitedHealth Group Inc,UNH.GTX,UNH,Managed Healthcare (NEC),485772302784
US30303M1027,Meta Platforms Inc,FB2A.GTX,FB2A,Social Media & Networking,437882272542
US4781601046,Johnson & Johnson,JNJ.GTX,JNJ,Pharmaceuticals (NEC),424191884259
US92826C8394,Visa Inc,Va.GTX,3V64,Internet Security & Transactions Services,411097357736
US30231G1022,Exxon Mobil Corp,XON.GTX,XONA,Oil & Gas Refining and Marketing (NEC),398384353439
US67066G1040,NVIDIA Corp,NVDA.GTX,NVD,Semiconductors (NEC),375840600000
US9311421039,Walmart Inc,WMT.GTX,WMT,Food Retail & Distribution (NEC),363339439127
US46625H1005,JPMorgan Chase & Co,JPM.GTX,CMC,Banks (NEC),334030749498
US7427181091,Procter & Gamble Co,PG.GTX,PRG,Personal Products (NEC),329055796615
US57636Q1040,Mastercard Inc,MA.GTX,M4I,Internet Security & Transactions Services,313463407123
US1667641005,Chevron Corp,CVX.GTX,CHV,Oil & Gas Refining and Marketing (NEC),309392146700
US4370761029,Home Depot Inc,HD.GTX,HDI,Home Improvement Products & Services Retailers (NEC),295263180690
US5324571083,Eli Lilly and Co,LLY.GTX,LLY,Pharmaceuticals (NEC),286221160124
US0605051046,Bank of America Corp,BAC.GTX,NCB,Banks (NEC),270064383630
US1912161007,Coca-Cola Co,KO.GTX,CCC3,Non-Alcoholic Beverages (NEC),266872866327
US7170811035,Pfizer Inc,PFE.GTX,PFE,Pharmaceuticals (NEC),253846672321
US7134481081,PepsiCo Inc,PEP.GTX,PEP,Carbonated Soft Drinks,237747216075
US00287Y1091,Abbvie Inc,4AB.GTX,4AB,Pharmaceuticals (NEC),237738254717
US22160K1051,Costco Wholesale Corp,COST.GTX,CTO,Discount Stores (NEC),231270955672
US58933Y1055,Merck & Co Inc,MRK.GTX,6MK,Pharmaceuticals (NEC),216240767569
US8835561023,Thermo Fisher Scientific Inc,TMO.GTX,TN8,Advanced Medical Equipment & Technology (NEC),213650356757
US2546871060,Walt Disney Co,DIS.GTX,WDP,Broadcasting (NEC),204328315646
US11135F1012,Broadcom Inc,1YD.GTX,1YD,Semiconductors (NEC),201549452247
US68389X1054,Oracle Corp,ORCL.GTX,ORC,Enterprise Software,197604262900
US2358511028,Danaher Corp,DHR.GTX,DAP,Advanced Medical Equipment & Technology (NEC),196344775768
US5801351017,McDonald's Corp,MCD.GTX,MDO,Quick Service Restaurants,185606753127
US17275R1023,Cisco Systems Inc,CSCO.GTX,CIS,Communications & Networking (NEC),185183911734
US8725901040,T-Mobile US Inc,TM5.GTX,TM5,Wireless Telecommunications Services (NEC),180531776334
US0028241000,Abbott Laboratories,ABT.GTX,ABL,"Medical Equipment, Supplies & Distribution (NEC)",179762706618
US92343V1044,Verizon Communications Inc,VZ.GTX,BAC,Integrated Telecommunications Services (NEC),175590070603
US00724F1012,Adobe Inc,ADBE.GTX,ADB,Application Software,174769920000
US9113121068,United Parcel Service Inc,UPS.GTX,UPAB,"Courier, Postal, Air Freight & Land-based Logistics (NEC)",168964619098
US65339F1012,Nextera Energy Inc,FPL.GTX,FP3,Electric Utilities (NEC),167124117305
US6541061031,Nike Inc,NKE.GTX,NKE,Sports & Outdoor Footwear,166972776087
US9497461015,Wells Fargo & Co,NOB.GTX,NWT,Banks (NEC),165794194038
US20030N1019,Comcast Corp,CMCS.GTX,CTP2,Broadcasting (NEC),159715096067
US79466L3024,Salesforce Inc,FOO.GTX,FOO,Cloud Computing Services,156120000000
US8825081040,Texas Instruments Inc,TXN.GTX,TII,Semiconductors (NEC),150953593771
US7475251036,Qualcomm Inc,QCOM.GTX,QCI,Semiconductors (NEC),148539210000
US7181721090,Philip Morris International Inc,4I1.GTX,4I1,Tobacco (NEC),148025096190
US6174464486,Morgan Stanley,MWD.GTX,DWD,Investment Banking & Brokerage Services (NEC),146307937882
US1101221083,Bristol-Myers Squibb Co,BMY.GTX,BRM,Pharmaceuticals (NEC),143937550200
US9078181081,Union Pacific Corp,UNP.GTX,UNP,Ground Freight & Logistics (NEC),140201689138
US20825C1045,Conocophillips,COP.GTX,YCP,Oil & Gas Exploration and Production (NEC),139333501799
US0079031078,Advanced Micro Devices Inc,AMD.GTX,AMD,Semiconductors (NEC),137007414783
US8085131055,Charles Schwab Corp,SCH.GTX,SWG,Investment Banking & Brokerage Services (NEC),134598381254
US75513E1010,Raytheon Technologies Corp,5UR.GTX,5UR,Aerospace & Defense (NEC),132517135628
US4581401001,Intel Corp,INTC.GTX,INL,Semiconductors (NEC),131063520000
US1266501006,CVS Health Corp,CVS.GTX,CVS,Healthcare Facilities & Services (NEC),128854147407
US0311621009,Amgen Inc,AMGN.GTX,AMG,Pharmaceuticals (NEC),128543883255
US4385161066,Honeywell International Inc,HON.GTX,ALD,Consumer Goods Conglomerates,127563640223
US00206R1023,AT&T Inc,T.GTX,SOBA,Wireless Telecommunications Services (NEC),124990040000
US4612021034,Intuit Inc,INTU.GTX,ITU,Financial Technology (Fintech) (NEC),121795217854
US5486611073,Lowe's Companies Inc,LOW.GTX,LWE,Home Improvement Products & Services Retailers (NEC),120502808077
US03027X1000,American Tower Corp,A0T.GTX,A0T,Specialized REITs (NEC),118282353977
US78409V1044,S&P Global Inc,MHP.GTX,MHL,Professional Information Services (NEC),117452030000
US0367521038,Elevance Health Inc,A58.GTX,A58,Managed Healthcare (NEC),116426736666
US4592001014,International Business Machines Corp,IBM.GTX,IBM,Machine Learning & Artificial Intelligence (AI) Services,116013516342
US0258161092,American Express Co,AXP.GTX,AEC1,Consumer Credit Cards Services,113961663928
US09260D1072,Blackstone Inc,BBN1.GTX,BBN1,Investment Management,113947720341
US38141G1040,Goldman Sachs Group Inc,GS.GTX,GOS,Investment Banking & Brokerage Services (NEC),113558877233
US2441991054,Deere & Co,DE.GTX,DCO,Agricultural Machinery,111633429198
US5398301094,Lockheed Martin Corp,LMT.GTX,LOM,Aerospace & Defense (NEC),111393097883
US70450Y1038,PayPal Holdings Inc,2PP.GTX,2PP,Internet Security & Transactions Services,108061105666
US0530151036,Automatic Data Processing Inc,AUD.GTX,ADP,IT Services & Consulting (NEC),101556506059
US09247X1019,BlackRock Inc,BLK.GTX,BLQA,Investment Management & Fund Operators (NEC),100470779982
US64110L1061,Netflix Inc,NFLO.GTX,NFC,Online Services (NEC),99418381923
US1491231015,Caterpillar Inc,CAT1.GTX,CAT1,Construction Machinery,97510097803
US8552441094,Starbucks Corp,SBUX.GTX,SRB,Restaurants & Bars (NEC),96461917999
US0970231058,Boeing Co,BA.GTX,BCO,Commercial Aircraft Manufacturing,95158239832
US1729674242,Citigroup Inc,TRVC.GTX,TRVC,Banks (NEC),94530796698
US74340W1036,Prologis Inc,POJA.GTX,POJN,Industrial REITs,92184464780
US5184391044,Estee Lauder Companies Inc,EL.GTX,ELAA,Personal Products (NEC),90789137768
US81762P1021,ServiceNow Inc,4S0.GTX,4S0,Enterprise Software,87793240000
US1255231003,Cigna Corp,CI.GTX,CGN,Managed Healthcare (NEC),86485187456
US6092071058,Mondelez International Inc,KFT.GTX,KTF,Food Processing (NEC),84783219750
US26441C2044,Duke Energy Corp,D2MN.GTX,D2MN,Electric Utilities (NEC),82317356282
US8425871071,Southern Co,SO.GTX,SOT,Electric Utilities (NEC),81925511732
US02209S1033,Altria Group Inc,MO.GTX,PHM7,Cigars & Cigarette Manufacturing,81253151040
US0382221051,Applied Materials Inc,AMAT.GTX,AP2,Semiconductor Machinery Manufacturing,80929303094
US3696043013,General Electric Co,GCP.GTX,GCP,Consumer Goods Conglomerates,80530859810
US5717481023,Marsh & McLennan Companies Inc,MMC.GTX,MSN,Multiline Insurance & Brokers (NEC),80526480116
US3755581036,Gilead Sciences Inc,GILD.GTX,GIS,Bio Therapeutic Drugs,79551228497
US0326541051,Analog Devices Inc,ADI.GTX,ANL,Semiconductors (NEC),77938172192
US8636671013,Stryker Corp,SYK.GTX,SYK,Medical Devices & Implants,77631408871
US09857L1089,Booking Holdings Inc,PCE1.GTX,PCE1,Travel Agents,74481377060
US22822V1017,Crown Castle Inc,8CW.GTX,8CW,Specialized REITs (NEC),73976097469
US6668071029,Northrop Grumman Corp,NOC.GTX,NTH,Aerospace & Defense (NEC),73950453809
US87612E1064,Target Corp,TGT.GTX,DYH,Discount Stores (NEC),73798510094
US46120E6023,Intuitive Surgical Inc,ISRGD.GTX,IUI1,Advanced Medical Equipment & Technology (NEC),73472056642
US98978V1035,Zoetis Inc,ZOE.GTX,ZOE,Veterinary Drugs,73277730049
US8725401090,TJX Companies Inc,TJX.GTX,TJX,Discount Stores without Grocery,72391652118
US0090661010,Airbnb Inc,6Z1.GTX,6Z1,Online Services (NEC),72340081405
US92532F1003,Vertex Pharmaceuticals Inc,VRTX.GTX,VX1,Bio Therapeutic Drugs,72260023648
US0758871091,Becton Dickinson and Co,BDX.GTX,BOX,"Medical Equipment, Supplies & Distribution (NEC)",71988950171
US7433151039,Progressive Corp,PGR.GTX,PGV,Insurance - Automobile,71725720000
US26875P1012,EOG Resources Inc,EOGR.GTX,EO5,Oil & Gas Exploration and Production (NEC),71087200518
US88579Y1010,3M Co,MMM.GTX,MMM,Consumer Goods Conglomerates,70830248446
US12572Q1058,CME Group Inc,MX4A.GTX,MX4A,Securities & Commodity Exchanges,70308747226
US94106L1098,Waste Management Inc,UW.GTX,UWS,Environmental Services & Equipment (NEC),69866135906
US25746U1097,Dominion Energy Inc,D.GTX,DOD,Electric Utilities (NEC),68098728794
US1264081035,CSX Corp,CSX.GTX,CXR,Railway Freight Operators,67770281954
US9029733048,US Bancorp,FSR.GTX,UB5,Banks (NEC),67766609517
US16119P1084,Charter Communications Inc,CQD.GTX,CQD,Integrated Telecommunications Services (NEC),66290967841
US6745991058,Occidental Petroleum Corp,OXY.GTX,OPC,Oil & Gas Exploration and Production (NEC),66135928237
US1941621039,Colgate-Palmolive Co,CL.GTX,CPA,Personal Products (NEC),65236538652
US6934751057,PNC Financial Services Group Inc,PNC.GTX,PNP,Banks (NEC),64799592632
US3377381088,Fiserv Inc,FISV.GTX,FIV,Transaction & Payment Services,64719540174
US75886F1075,Regeneron Pharmaceuticals Inc,REGN.GTX,RGO,Bio Therapeutic Drugs,63340375581
US3695501086,General Dynamics Corp,GD.GTX,GDX,Aerospace & Defense (NEC),62783187144
US5951121038,Micron Technology Inc,MU.GTX,MTE,Semiconductors (NEC),62360792955
US89832Q1094,Truist Financial Corp,BBKG.GTX,BBK,Banks (NEC),62128268120
US00507V1098,Activision Blizzard Inc,ATVI.GTX,AIY,Internet Gaming,61403244406
US3453708600,Ford Motor Co,F.GTX,FMC1,Auto & Truck Manufacturers (NEC),61268419774
US4448591028,Humana Inc,HUM.GTX,HUM,Managed Healthcare (NEC),60971040622
US7237871071,Pioneer Natural Resources Co,PXD.GTX,PNK,Oil & Gas Exploration and Production (NEC),60435246091
US4523081093,Illinois Tool Works Inc,ITW.GTX,ILT,Consumer Goods Conglomerates,60323597564
US8243481061,Sherwin-Williams Co,SHW.GTX,SJ3,Paints & Coatings,60156386601
US5128071082,Lam Research Corp,LRCX.GTX,LAR,Semiconductor Equipment & Testing (NEC),59988323994
US29444U7000,Equinix Inc,EQN2.GTX,EQN2,Commercial REITs (NEC),59870094363
US74460D1090,Public Storage,PSA.GTX,PUP,Self-Storage REITs,58074516852
US1011371077,Boston Scientific Corp,BSXU.GTX,BSX,Advanced Medical Equipment & Technology (NEC),57708372957
US8334451098,Snowflake Inc.,5Q5.GTX,5Q5,IT Services & Consulting (NEC),57557211677
US6558441084,Norfolk Southern Corp,NSC.GTX,NFS,Ground Freight & Logistics (NEC),57104830767
US90353T1007,Uber Technologies Inc,UT8.GTX,UT8,Online Services (NEC),56942446684
