time,EURUSD,GBPUSD,EURAUD
2019-01-01 22:00:00+00:00,1.14632,1.2747700000000002,1.62629
2019-01-01 22:20:00+00:00,1.146455,1.27474,1.626695
2019-01-01 22:40:00+00:00,1.14641,1.27398,1.62734
2019-01-01 23:00:00+00:00,1.14667,1.2750299999999999,1.62654
2019-01-01 23:20:00+00:00,1.14663,1.27515,1.62745
2019-01-01 23:40:00+00:00,1.146145,1.2754150000000002,1.62619
2019-01-02 00:00:00+00:00,1.1461,1.275,1.626575
2019-01-02 00:20:00+00:00,1.14551,1.274625,1.6271950000000002
2019-01-02 00:40:00+00:00,1.1456499999999998,1.27488,1.62713
2019-01-02 01:00:00+00:00,1.145445,1.274575,1.6264049999999999
2019-01-02 01:20:00+00:00,1.145225,1.2744650000000002,1.6272600000000002
2019-01-02 01:40:00+00:00,1.14523,1.2744950000000002,1.630165
2019-01-02 02:00:00+00:00,1.14503,1.273855,1.634615
2019-01-02 02:20:00+00:00,1.1446,1.273385,1.634615
2019-01-02 02:40:00+00:00,1.14458,1.272845,1.63164
2019-01-02 03:00:00+00:00,1.144755,1.273045,1.633155
2019-01-02 03:20:00+00:00,1.144675,1.272705,1.632525
2019-01-02 03:40:00+00:00,1.14457,1.273045,1.632595
2019-01-02 04:00:00+00:00,1.1445,1.273075,1.6321450000000002
2019-01-02 04:20:00+00:00,1.144595,1.2735100000000001,1.630995
2019-01-02 04:40:00+00:00,1.1445049999999999,1.27344,1.63059
2019-01-02 05:00:00+00:00,1.1452,1.27368,1.630505
2019-01-02 05:20:00+00:00,1.14674,1.27502,1.63172
2019-01-02 05:40:00+00:00,1.147825,1.275655,1.63363
2019-01-02 06:00:00+00:00,1.1494950000000002,1.277235,1.632235
2019-01-02 06:20:00+00:00,1.149025,1.27639,1.632195
2019-01-02 06:40:00+00:00,1.148565,1.27559,1.632105
2019-01-02 07:00:00+00:00,1.148675,1.275795,1.63382
2019-01-02 07:20:00+00:00,1.14847,1.275365,1.6313149999999998
2019-01-02 07:40:00+00:00,1.147675,1.27521,1.6318350000000001
2019-01-02 08:00:00+00:00,1.14521,1.272635,1.632085
2019-01-02 08:20:00+00:00,1.143865,1.2712649999999999,1.63015
2019-01-02 08:40:00+00:00,1.144845,1.2711100000000002,1.63121
2019-01-02 09:00:00+00:00,1.144595,1.271745,1.630315
2019-01-02 09:20:00+00:00,1.14328,1.26945,1.6297549999999998
2019-01-02 09:40:00+00:00,1.14341,1.268885,1.629865
2019-01-02 10:00:00+00:00,1.1435950000000001,1.2690549999999998,1.6303450000000002
2019-01-02 10:20:00+00:00,1.143775,1.26908,1.63146
2019-01-02 10:40:00+00:00,1.14371,1.2673,1.63179
2019-01-02 11:00:00+00:00,1.14294,1.2669100000000002,1.63025
2019-01-02 11:20:00+00:00,1.143685,1.267355,1.631415
