time,EUR_USD
2017-01-02 23:20:00,1.04574
2017-01-02 23:40:00,1.04608
2017-01-03 00:00:00,1.04575
2017-01-03 00:20:00,1.04672
2017-01-03 00:40:00,1.04696
2017-01-03 01:00:00,1.04662
2017-01-03 01:20:00,1.04742
2017-01-03 01:40:00,1.048
2017-01-03 02:00:00,1.04758
2017-01-03 02:20:00,1.0476
2017-01-03 02:40:00,1.04756
2017-01-03 03:00:00,1.04721
2017-01-03 03:20:00,1.04776
2017-01-03 03:40:00,1.04798
2017-01-03 04:00:00,1.04848
2017-01-03 04:20:00,1.0484
2017-01-03 04:40:00,1.0486
2017-01-03 05:00:00,1.04884
2017-01-03 05:20:00,1.04846
2017-01-03 05:40:00,1.04846
2017-01-03 06:00:00,1.04824
2017-01-03 06:20:00,1.04842
2017-01-03 06:40:00,1.04862
2017-01-03 07:00:00,1.04882
2017-01-03 07:20:00,1.0459200000000002
2017-01-03 07:40:00,1.04564
2017-01-03 08:00:00,1.0460200000000002
2017-01-03 08:20:00,1.0443
2017-01-03 08:40:00,1.04302
2017-01-03 09:00:00,1.0435299999999998
2017-01-03 09:20:00,1.0419
2017-01-03 09:40:00,1.04088
2017-01-03 10:00:00,1.04017
2017-01-03 10:20:00,1.04162
2017-01-03 10:40:00,1.04087
2017-01-03 11:00:00,1.03966
2017-01-03 11:20:00,1.03864
2017-01-03 11:40:00,1.03885
2017-01-03 12:00:00,1.03942
2017-01-03 12:20:00,1.03873
2017-01-03 12:40:00,1.03833
2017-01-03 13:00:00,1.03892
2017-01-03 13:20:00,1.03857
2017-01-03 13:40:00,1.03846
2017-01-03 14:00:00,1.03914
2017-01-03 14:20:00,1.03896
2017-01-03 14:40:00,1.0395299999999998
2017-01-03 15:00:00,1.03894
2017-01-03 15:20:00,1.0361
2017-01-03 15:40:00,1.03649
2017-01-03 16:00:00,1.03844
2017-01-03 16:20:00,1.04088
2017-01-03 16:40:00,1.04185
2017-01-03 17:00:00,1.04154
2017-01-03 17:20:00,1.04136
2017-01-03 17:40:00,1.0418
2017-01-03 18:00:00,1.04271
2017-01-03 18:20:00,1.04253
2017-01-03 18:40:00,1.0425799999999998
2017-01-03 19:00:00,1.0415
2017-01-03 19:20:00,1.04087
2017-01-03 19:40:00,1.0406
2017-01-03 20:00:00,1.0410700000000002
2017-01-03 20:20:00,1.04132
2017-01-03 20:40:00,1.04136
