Date,Open,High,Low,Close
1970-12-31,92.269997,92.790001,91.360001,92.150002
1971-01-04,92.150002,92.190002,90.639999,91.150002
1971-01-05,91.150002,92.279999,90.690002,91.800003
1971-01-06,91.800003,93.0,91.5,92.349998
1971-01-07,92.349998,93.260002,91.75,92.379997
1971-01-08,92.379997,93.019997,91.599998,92.190002
1971-01-11,92.190002,92.66999799999999,90.989998,91.980003
1971-01-12,91.980003,93.279999,91.629997,92.720001
1971-01-13,92.720001,93.660004,91.879997,92.559998
1971-01-14,92.559998,93.360001,91.66999799999999,92.800003
1971-01-15,92.800003,93.940002,92.25,93.029999
1971-01-18,93.029999,94.110001,92.629997,93.410004
1971-01-19,93.410004,94.279999,92.849998,93.760002
1971-01-20,93.760002,94.529999,93.07,93.779999
1971-01-21,93.779999,94.690002,93.150002,94.190002
1971-01-22,94.190002,95.529999,93.959999,94.879997
1971-01-25,94.879997,95.93,94.160004,95.279999
1971-01-26,95.279999,96.360001,94.690002,95.589996
1971-01-27,95.589996,95.779999,93.959999,94.889999
1971-01-28,94.889999,95.779999,94.120003,95.209999
1971-01-29,95.209999,96.489998,94.790001,95.879997
1971-02-01,95.879997,97.050003,95.379997,96.41999799999999
1971-02-02,96.41999799999999,97.190002,95.599998,96.43
1971-02-03,96.43,97.190002,95.58000200000001,96.629997
1971-02-04,96.629997,97.260002,95.690002,96.620003
1971-02-05,96.620003,97.58000200000001,95.839996,96.93
1971-02-08,96.93,98.040001,96.129997,97.449997
1971-02-09,97.449997,98.5,96.900002,97.510002
1971-02-10,97.510002,97.970001,96.230003,97.389999
1971-02-11,97.389999,98.489998,96.989998,97.910004
1971-02-12,97.910004,98.959999,97.559998,98.43
1971-02-16,98.43,99.589996,97.849998,98.660004
1971-02-17,98.660004,99.32,97.32,98.199997
1971-02-18,98.199997,98.599998,96.959999,97.559998
1971-02-19,97.559998,97.790001,96.25,96.739998
1971-02-22,96.650002,96.650002,94.970001,95.720001
1971-02-23,95.720001,96.66999799999999,94.91999799999999,96.089996
1971-02-24,96.089996,97.339996,95.860001,96.730003
1971-02-25,96.730003,97.709999,96.08000200000001,96.959999
1971-02-26,96.959999,97.540001,95.839996,96.75
1971-03-01,96.75,97.480003,96.110001,97.0
1971-03-02,97.0,97.599998,96.32,96.980003
1971-03-03,96.980003,97.540001,96.300003,96.949997
1971-03-04,96.949997,98.379997,96.900002,97.91999799999999
1971-03-05,97.91999799999999,99.489998,97.82,98.959999
1971-03-08,98.959999,99.440002,98.41999799999999,99.379997
1971-03-09,99.379997,100.309998,98.720001,99.459999
1971-03-10,99.459999,100.099998,98.629997,99.300003
1971-03-11,99.300003,100.290001,98.57,99.389999
1971-03-12,99.389999,100.089996,98.639999,99.57
1971-03-15,99.57,101.150002,99.120003,100.709999
1971-03-16,100.709999,101.940002,100.360001,101.209999
1971-03-17,101.209999,101.660004,99.980003,101.120003
1971-03-18,101.120003,102.029999,100.43,101.190002
1971-03-19,101.190002,101.739998,100.349998,101.010002
1971-03-22,101.010002,101.459999,100.08000200000001,100.620003
1971-03-23,100.620003,101.059998,99.620003,100.279999
1971-03-24,100.279999,100.629997,99.150002,99.620003
1971-03-25,99.620003,100.029999,98.360001,99.610001
1971-03-26,99.610001,100.650002,99.18,99.949997
1971-03-29,99.949997,100.739998,99.360001,100.029999
1971-03-30,100.029999,100.860001,99.410004,100.260002
1971-03-31,100.260002,101.050003,99.690002,100.309998
1971-04-01,100.309998,100.989998,99.629997,100.389999
1971-04-02,100.389999,101.230003,99.860001,100.559998
1971-04-05,100.559998,101.410004,99.879997,100.790001
1971-04-06,100.790001,102.110001,100.300003,101.510002
1971-04-07,101.510002,102.870003,101.129997,101.980003
1971-04-08,101.980003,102.860001,101.300003,102.099998
1971-04-12,102.099998,103.540001,101.75,102.879997
1971-04-13,102.879997,103.959999,102.25,102.980003
1971-04-14,102.980003,104.010002,102.279999,103.370003
1971-04-15,103.370003,104.400002,102.760002,103.519997
1971-04-16,103.519997,104.18,102.68,103.489998
1971-04-19,103.489998,104.629997,103.089996,104.010002
1971-04-20,104.010002,104.58000200000001,103.059998,103.610001
1971-04-21,103.610001,104.160004,102.550003,103.360001
1971-04-22,103.360001,104.269997,102.58000200000001,103.559998
1971-04-23,103.559998,104.629997,102.790001,104.050003
1971-04-26,104.050003,104.83000200000001,103.190002,103.940002
1971-04-27,103.940002,105.07,103.230003,104.589996
1971-04-28,104.589996,105.599998,103.849998,104.769997
1971-04-29,104.769997,105.58000200000001,103.900002,104.629997
1971-04-30,104.629997,104.959999,103.25,103.949997
1971-05-03,103.949997,104.110001,102.370003,103.290001
1971-05-04,103.290001,104.360001,102.709999,103.790001
1971-05-05,103.790001,104.279999,102.68,103.779999
1971-05-06,103.779999,104.41999799999999,102.800003,103.230003
1971-05-07,103.230003,103.5,101.860001,102.870003
1971-05-10,102.870003,103.150002,101.709999,102.360001
1971-05-11,102.360001,103.370003,101.5,102.620003
1971-05-12,102.620003,103.57,102.120003,102.900002
1971-05-13,102.900002,103.57,101.980003,102.690002
1971-05-14,102.690002,103.16999799999999,101.650002,102.209999
1971-05-17,102.08000200000001,102.08000200000001,100.25,100.690002
1971-05-18,100.690002,101.620003,99.68,100.83000200000001
1971-05-19,100.83000200000001,101.75,100.300003,101.07
1971-05-20,101.07,102.16999799999999,100.610001,101.309998
1971-05-21,101.309998,101.839996,100.410004,100.989998
1971-05-24,100.989998,101.239998,99.720001,100.129997
1971-05-25,100.129997,100.389999,98.730003,99.470001
1971-05-26,99.470001,100.489998,98.93,99.589996
1971-05-27,99.589996,100.139999,98.779999,99.400002
1971-05-28,99.400002,100.16999799999999,98.68,99.629997
1971-06-01,99.629997,100.760002,99.220001,100.199997
1971-06-02,100.199997,101.529999,99.889999,100.959999
1971-06-03,100.959999,102.07,100.300003,101.010002
1971-06-04,101.010002,101.879997,100.43,101.300003
1971-06-07,101.300003,102.019997,100.550003,101.089996
1971-06-08,101.089996,101.5,99.910004,100.32
1971-06-09,100.32,100.970001,99.279999,100.290001
1971-06-10,100.290001,101.230003,99.779999,100.639999
1971-06-11,100.639999,101.709999,100.18,101.07
1971-06-14,101.07,101.279999,99.779999,100.220001
1971-06-15,100.220001,101.099998,99.449997,100.32
1971-06-16,100.32,101.290001,99.68,100.519997
1971-06-17,100.519997,101.370003,99.870003,100.5
1971-06-18,100.5,100.629997,98.650002,98.970001
1971-06-21,98.970001,99.18,97.220001,97.870003
1971-06-22,97.870003,98.660004,96.91999799999999,97.589996
1971-06-23,97.589996,98.949997,97.360001,98.410004
1971-06-24,98.410004,99.0,97.589996,98.129997
1971-06-25,98.129997,98.660004,97.33000200000001,97.989998
1971-06-28,97.989998,98.480003,97.019997,97.739998
1971-06-29,97.739998,99.389999,97.610001,98.82
1971-06-30,98.82,100.290001,98.68,98.699997
1971-07-01,99.160004,100.650002,99.160004,99.779999
1971-07-02,99.779999,100.309998,99.089996,99.779999
1971-07-06,99.779999,100.349998,99.099998,99.760002
1971-07-07,99.760002,100.83000200000001,99.25,100.040001
1971-07-08,100.040001,101.029999,99.589996,100.339996
1971-07-09,100.339996,101.33000200000001,99.860001,100.690002
1971-07-12,100.690002,101.519997,100.190002,100.82
1971-07-13,100.82,101.059998,99.07,99.5
1971-07-14,99.5,99.83000200000001,98.230003,99.220001
1971-07-15,99.220001,100.480003,98.760002,99.279999
1971-07-16,99.279999,100.349998,98.639999,99.110001
1971-07-19,99.110001,99.57,98.110001,98.93
1971-07-20,98.93,100.010002,98.599998,99.32
1971-07-21,99.32,100.0,98.739998,99.279999
1971-07-22,99.279999,99.82,98.5,99.110001
1971-07-23,99.110001,99.599998,98.260002,98.940002
1971-07-26,98.940002,99.470001,96.66999799999999,98.139999
1971-07-27,98.139999,98.989998,97.41999799999999,97.779999
1971-07-28,97.779999,98.150002,96.510002,97.07
1971-07-29,97.07,97.220001,95.370003,96.019997
1971-07-30,96.019997,96.779999,95.08000200000001,95.58000200000001
1971-08-02,95.58000200000001,96.760002,95.220001,95.959999
1971-08-03,95.959999,96.110001,94.059998,94.510002
1971-08-04,94.510002,95.339996,93.349998,93.889999
1971-08-05,93.889999,94.889999,93.33000200000001,94.089996
1971-08-06,94.089996,94.910004,93.629997,94.25
1971-08-09,94.25,94.550003,93.16999799999999,93.529999
1971-08-10,93.529999,94.129997,92.809998,93.540001
1971-08-11,93.540001,95.059998,93.349998,94.660004
1971-08-12,94.809998,96.5,94.809998,96.0
1971-08-13,96.0,96.529999,95.190002,95.690002
1971-08-16,97.900002,100.959999,97.900002,98.760002
1971-08-17,98.760002,101.0,98.489998,99.989998
1971-08-18,99.989998,100.190002,98.059998,98.599998
